Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
2.45,58.8055,50,55.6469,93.5938,91.8281,58.8055,141.0063,103,89,76,0.7413
2.46,58.8055,50,56.3312,93.5938,91.1531,58.8055,141.0063,103,89,76,0.7413
2.47,58.8055,50,57.5719,93.5938,92.0406,58.8055,141.0063,103,89,76,0.7413
2.48,58.8055,50,58.0688,93.5938,92.0031,58.8055,141.0063,103,89,76,0.7413
2.49,58.8055,50,58.1781,93.5938,91.9531,58.8055,141.0063,103,89,76,0.7413
2.5,58.8055,50,57.7719,93.5938,92.6156,58.8055,141.0063,103,89,76,0.7413
2.51,58.8055,50,56.2281,93.5938,92.1563,58.8055,141.0063,103.0031,89,76,0.7413
2.52,58.8055,50,55.2781,93.5938,93.2813,58.8055,141.0063,103.0062,89,76,0.7413
2.53,58.8055,50,56.375,93.5938,93.4438,58.8055,141.0063,103.0062,89,76,0.7413
2.54,58.8055,50,57.4281,93.5938,94.0031,58.8055,141.0063,103.0062,89,76,0.7413
2.55,58.8055,50,56.9063,93.5938,94.5625,58.8055,141.0063,103.0062,89,76,0.7413
2.56,58.8055,50,54.5438,93.5938,94.7375,58.8055,141.0063,103.0062,89,76,0.7413
2.57,58.8055,50,53.0156,93.5938,94.9938,58.8055,141.0063,103.0062,89,76,0.7413
2.58,58.8055,50,52.6906,93.5938,95.0062,58.8055,141.0063,103.0062,89,76,0.7413
2.59,58.8055,50,52.6719,93.5938,95.0031,58.8055,141.0063,103.0062,89,76,0.7413
2.6,58.8055,50,52.7031,93.5938,95.0406,58.8055,141.0063,103.0062,89,76,0.7413
2.61,58.8055,50,52.4312,93.5938,94.2156,58.8055,141.0063,103.0062,89,76,0.7413
2.62,58.8055,50,51.8375,93.5938,94,58.8055,141.0063,103.0062,89,76,0.7413
2.63,58.8055,50,50.8344,93.5938,93.8125,58.8055,141.0063,103.0062,89,76,0.7413
2.64,58.8055,50,50.7469,93.5938,92.9625,58.8055,141.0063,103.0062,89,76,0.7413
2.65,58.8055,50,53.1125,93.5938,93.0031,58.8055,141.0063,103.0062,89,76,0.7413
2.66,58.8055,50,54.6594,93.5938,93,58.8055,141.0063,103.0062,89,76,0.7413
2.67,58.8055,50,54.3531,93.5938,93,58.8055,141.0125,103.0125,89.0062,76.0031,0.7413
2.68,58.8055,50,54.15,93.5938,93.0187,58.8055,140.7781,102.8125,88.85,75.9656,0.7413
2.69,58.8055,50,53.4875,93.5938,93.1719,58.8055,145.7625,106.9688,92.175,76.7969,0.7413
2.7,58.8055,50,52.2219,93.5938,94.9719,58.8055,146.9375,107.95,92.9594,76.9906,0.7413
2.71,58.8055,50,51,93.5938,97.9406,58.8055,147.0094,108.0062,93.0062,77.0031,0.7413
2.72,58.8055,50,50.3188,93.5938,103.25,58.8055,147.0063,108.0031,93.0031,77.0031,0.7413
